basin_id,q_mean,q_runoff_ratio,q_elas_Sankarasubramanian,slope_sawicz,baseflow_index,hfd_mean,hfd_std,q_5,q_95,hq_freq,hq_dur,lq_freq,lq_dur,zero_q_freq,p_mean,pet_mean,aridity,p_seasonality,frac_snow,hp_freq,hp_dur,hp_time,lp_freq,lp_dur,lp_time,num_years_hydro,start_date_hydro,end_date_hydro,num_years_climatic,start_date_climatic,end_date_climatic
AT000034,5.181,1.362,0.889,3.678,0.642,251.6,10.184,0.73,16.917,4.113,2.246,65.605,20.165,0.0,3.8,1.461,0.384,0.337,0.356,15.756,1.215,Summer,205.919,3.601,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000035,4.466,1.172,1.052,3.344,0.663,247.186,10.234,0.715,13.427,0.986,1.296,40.817,12.228,0.0,3.807,1.499,0.394,0.323,0.346,15.062,1.21,Summer,203.769,3.586,Fall,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000036,5.013,1.175,1.237,2.648,0.659,245.63,11.154,1.058,14.386,1.426,1.241,13.51,13.804,0.0,4.258,1.726,0.405,0.31,0.246,15.343,1.214,Summer,200.303,3.522,Fall,47.0,1975-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000037,3.336,0.904,1.111,2.433,0.682,233.783,11.855,0.756,8.885,1.125,1.588,9.5,20.727,0.0,3.674,1.722,0.469,0.372,0.241,15.419,1.202,Summer,202.879,3.538,Fall,24.0,1998-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000038,3.743,1.001,1.106,2.37,0.704,242.38,10.484,0.87,10.235,0.451,1.353,9.294,9.673,0.0,3.774,1.643,0.435,0.341,0.281,14.722,1.204,Summer,201.579,3.535,Fall,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000039,3.291,0.813,1.191,2.015,0.663,219.417,16.824,0.803,8.164,0.836,1.378,9.967,9.806,0.0,4.027,1.908,0.474,0.369,0.152,14.953,1.184,Summer,199.878,3.462,Fall,61.0,1961-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000040,3.152,0.92,0.892,2.054,0.792,242.929,9.883,1.045,7.037,0.093,1.0,,,0.0,3.406,1.687,0.495,0.435,0.251,15.809,1.15,Summer,207.605,3.573,Fall,43.0,1979-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000041,0.826,0.241,1.032,2.139,0.784,232.118,15.755,0.175,1.974,0.143,1.0,14.857,15.294,0.0,3.43,1.779,0.519,0.405,0.248,15.144,1.165,Summer,207.974,3.565,Fall,35.0,1987-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000042,2.539,0.743,1.308,2.555,0.721,237.054,11.764,0.609,6.384,0.368,1.556,4.737,25.714,0.0,3.437,1.805,0.525,0.398,0.243,15.117,1.168,Summer,208.205,3.557,Fall,38.0,1984-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000043,2.754,0.804,1.397,1.726,0.749,230.22,14.381,0.89,6.179,0.238,1.25,,,0.0,3.439,1.794,0.522,0.408,0.232,15.867,1.177,Summer,206.65,3.537,Fall,42.0,1980-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000044,2.277,0.879,0.987,3.42,0.667,254.393,9.568,0.357,7.442,2.656,2.833,48.047,19.462,0.0,2.616,1.412,0.54,0.432,0.361,15.39,1.21,Summer,216.644,3.962,Winter,64.0,1954-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000045,2.377,0.86,0.647,2.27,0.684,255.057,9.607,0.465,6.568,0.169,1.2,19.817,1.726,0.0,2.764,1.367,0.494,0.417,0.39,14.423,1.233,Summer,213.933,4.005,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000046,2.623,0.951,0.786,2.067,0.709,253.471,9.781,0.59,6.776,0.042,1.0,9.296,2.109,0.0,2.76,1.375,0.498,0.414,0.387,14.151,1.214,Summer,211.743,3.931,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000047,4.377,1.622,0.038,6.34,0.6,289.763,5.805,0.221,17.858,63.127,11.242,169.587,67.49,0.0,2.743,1.241,0.452,0.379,0.452,13.247,1.254,Summer,206.301,3.76,Winter,39.0,1983-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000048,3.264,0.904,1.157,3.574,0.685,259.855,10.058,0.458,10.131,3.714,2.667,61.089,22.359,0.0,3.637,1.449,0.398,0.341,0.361,15.879,1.211,Summer,206.145,3.614,Fall,56.0,1966-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000049,1.343,0.444,1.186,3.054,0.631,251.218,11.43,0.211,4.665,8.589,3.272,50.911,19.134,0.0,3.054,1.315,0.431,0.393,0.414,15.55,1.208,Summer,209.967,3.771,Fall,56.0,1966-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000050,2.035,0.674,1.24,2.87,0.701,254.547,9.638,0.422,6.167,1.5,2.152,14.954,7.896,0.0,3.032,1.41,0.465,0.377,0.374,15.199,1.191,Summer,208.471,3.723,Fall,66.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000051,2.368,0.763,1.107,2.777,0.717,253.72,9.777,0.519,6.901,0.686,1.842,11.372,10.357,0.0,3.156,1.447,0.459,0.363,0.361,15.43,1.197,Summer,207.179,3.677,Fall,51.0,1971-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000052,2.155,0.628,1.306,1.466,0.827,230.8,13.172,0.951,4.608,0.049,1.0,,,0.0,3.443,1.793,0.521,0.408,0.232,15.744,1.176,Summer,206.833,3.541,Fall,41.0,1981-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000053,2.56,0.903,0.512,1.829,0.746,248.314,7.642,0.763,6.098,0.028,1.0,2.139,1.242,0.0,2.87,1.422,0.496,0.4,0.364,13.538,1.186,Summer,204.939,3.727,Winter,36.0,1986-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000054,1.507,0.534,0.407,4.126,0.693,269.95,8.29,0.209,4.49,5.049,4.107,77.739,26.344,0.0,2.818,1.289,0.457,0.377,0.431,13.188,1.239,Summer,204.585,3.695,Winter,61.0,1961-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000055,10.407,2.959,-0.471,4.345,0.499,303.0,,0.272,32.093,,,100.744,15.66,0.0,2.852,1.161,0.407,0.361,0.497,12.784,1.301,Summer,204.339,3.682,Winter,46.0,1974-05-11 00:00:00,2019-11-06 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000056,3.97,1.386,0.64,4.869,0.604,291.296,7.144,0.318,16.32,49.272,8.364,147.671,59.285,0.0,2.853,1.163,0.408,0.36,0.496,12.648,1.297,Summer,204.789,3.7,Winter,55.0,1967-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000057,4.255,1.508,0.691,6.499,0.604,286.709,6.71,0.222,16.894,66.089,9.588,171.661,85.83,0.0,2.805,1.277,0.455,0.386,0.44,13.216,1.364,Summer,204.273,3.769,Winter,56.0,1966-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000058,3.35,1.176,0.622,4.734,0.663,279.378,6.482,0.371,11.405,9.174,2.758,112.605,30.471,0.0,2.825,1.251,0.443,0.378,0.451,12.844,1.333,Summer,204.069,3.739,Winter,46.0,1976-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000059,3.004,1.111,1.016,4.616,0.68,267.973,7.53,0.275,9.679,4.579,4.35,104.496,56.729,0.0,2.723,1.571,0.577,0.42,0.309,15.523,1.15,Summer,211.029,3.709,Fall,38.0,1984-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000060,2.933,1.037,0.649,4.462,0.67,278.671,6.192,0.385,9.872,10.211,3.085,98.436,27.195,0.0,2.824,1.334,0.472,0.387,0.41,13.117,1.265,Summer,203.688,3.701,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000061,3.525,1.262,0.862,5.334,0.631,265.45,7.147,0.278,12.861,15.756,4.425,134.075,54.426,0.0,2.795,1.512,0.541,0.41,0.333,14.987,1.153,Summer,209.564,3.692,Fall,41.0,1981-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000062,3.046,1.081,0.53,4.356,0.689,273.5,5.283,0.444,9.461,3.323,2.02,81.095,22.649,0.0,2.816,1.359,0.482,0.39,0.398,13.212,1.237,Summer,204.286,3.708,Winter,31.0,1991-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000063,2.478,0.868,0.955,2.555,0.74,259.314,7.976,0.587,6.55,0.127,1.286,7.831,3.106,0.0,2.855,1.413,0.495,0.398,0.368,13.389,1.187,Summer,202.518,3.693,Winter,71.0,1951-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000064,2.585,0.909,0.591,2.194,0.753,254.629,6.765,0.767,6.37,0.056,1.0,0.667,1.091,0.0,2.873,1.426,0.496,0.398,0.365,13.144,1.181,Summer,201.973,3.679,Winter,36.0,1986-01-02 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
AT000065,1.787,0.606,1.038,2.246,0.796,248.433,9.86,0.626,4.067,0.129,1.0,,,0.0,2.942,1.387,0.471,0.39,0.385,14.324,1.16,Summer,205.297,3.631,Fall,31.0,1991-01-01 00:00:00,2021-12-31 00:00:00,74.0,1950-01-01 00:00:00,2023-06-30 00:00:00
