basin_id,ele_mt_max,ele_mt_mean,ele_mt_min,slp_dg_mean,flat_area_fra,steep_area_fra,elon_ratio,strm_dens
ITIS0080,1698.321,1171.883,571.316,15.689,3.034,52.604,0.553,0.134
ITIS0081,1916.855,1443.786,1270.787,11.169,10.753,28.657,0.81,0.1
ITIS0082,1766.287,1263.238,202.615,14.392,2.935,40.901,0.447,0.244
ITIS0083,1766.287,885.013,46.587,12.863,7.605,34.145,0.545,0.239
ITIS0084,1398.06,872.102,446.625,22.114,0.638,76.512,0.5,0.0
ITIS0085,1527.663,1246.016,1056.184,11.428,4.987,25.925,0.63,0.043
ITIS0086,1527.663,1147.082,437.001,14.135,3.902,38.467,0.456,0.239
ITIS0087,1379.853,867.032,418.955,14.933,4.816,50.015,0.427,0.106
ITIS0088,1438.2,818.363,70.726,15.062,3.112,49.623,0.543,0.218
ITIS0089,1403.483,822.442,510.433,8.776,10.196,10.88,0.598,0.171
ITIS0090,1403.483,752.712,28.718,10.064,8.485,18.634,0.513,0.204
ITIS0091,1403.483,954.093,753.112,8.648,10.595,10.073,0.777,0.099
ITIS0092,1205.803,1065.437,906.092,9.793,1.363,9.945,0.653,0.0
ITIS0093,1249.277,903.811,172.835,12.862,8.937,36.191,0.524,0.162
ITIS0094,1414.481,784.728,67.013,17.203,4.155,57.197,0.444,0.186
ITIS0095,1175.413,1007.178,896.268,6.796,11.983,0.617,0.631,0.0
ITIS0096,981.477,504.902,91.289,17.76,5.439,63.208,0.59,0.0
ITIS0097,1371.074,544.582,119.825,16.03,5.331,42.703,0.664,0.009
ITIS0098,1562.558,1211.761,737.706,13.796,6.229,41.194,0.567,0.0
ITIS0099,90.434,69.961,56.756,1.687,90.045,0.0,0.63,0.0
ITIS0100,1082.423,543.239,79.203,13.018,19.271,38.061,0.615,0.102
ITIS0101,1725.931,1332.556,956.215,14.099,0.356,39.036,0.499,0.0
ITIS0102,1882.253,599.143,25.189,12.522,15.549,35.364,0.619,0.167
ITIS0103,1270.34,1025.652,890.654,8.659,5.622,5.675,0.568,0.0
ITIS0104,1277.984,532.573,28.53,11.086,16.161,28.189,0.61,0.169
ITIS0105,1270.34,1013.714,834.688,9.243,5.193,8.966,0.619,0.0
ITIS0106,1243.951,409.526,38.219,10.673,10.808,24.833,0.837,0.147
ITIS0107,1243.951,402.922,28.869,10.584,11.254,24.398,0.849,0.15
ITIS0108,1024.003,469.781,26.908,12.713,4.08,34.624,0.605,0.088
ITIS0109,703.951,441.312,202.253,15.226,1.026,51.116,0.554,0.0
ITIS0110,1382.283,573.145,43.069,11.832,9.671,31.73,0.519,0.222
ITIS0111,1536.806,1325.531,1203.987,8.13,12.876,8.574,0.562,0.028
ITIS0112,1676.402,1122.95,332.044,14.479,5.026,45.06,0.587,0.183
ITIS0113,2164.88,852.585,261.504,14.313,4.708,39.292,0.622,0.128
ITIS0114,2164.88,804.143,126.08,15.036,3.994,42.525,0.677,0.147
ITIS0115,1416.679,1102.879,754.327,17.442,0.676,50.508,0.485,0.0
ITIS0116,1079.068,745.68,288.792,17.947,1.284,56.465,0.628,0.0
ITIS0117,1963.568,789.018,93.307,16.696,2.065,47.723,0.654,0.142
ITIS0118,2242.272,943.595,0.655,16.131,9.243,43.118,0.443,0.243
ITIS0119,2231.165,958.627,255.307,18.097,3.888,58.151,0.628,0.111
ITIS0120,1769.642,706.678,217.808,18.8,1.444,61.921,0.574,0.122
ITIS0121,1962.817,527.037,44.924,12.68,14.028,34.28,0.64,0.208
ITIS0122,1850.454,663.565,26.11,12.009,13.005,33.216,0.648,0.175
ITIS0123,1247.665,633.01,219.551,15.604,1.75,51.509,0.619,0.12
ITIS0124,1677.81,1418.257,1165.075,11.821,3.509,27.191,0.647,0.01
ITIS0125,1804.667,1125.683,225.008,10.891,14.834,25.715,0.597,0.162
ITIS0126,1405.341,718.835,332.77,11.981,7.16,31.275,0.591,0.079
ITIS0127,2139.556,619.474,24.252,13.493,15.264,40.676,0.585,0.173
ITIS0128,2139.556,1157.076,372.406,20.531,2.07,68.867,0.6,0.166
ITIS0129,1684.83,510.422,145.305,8.819,16.534,11.712,0.552,0.158
ITIS0130,1684.83,365.311,4.008,6.771,33.117,8.7,0.528,0.181
ITIS0131,1898.15,1140.488,244.932,18.609,0.366,68.637,0.663,0.116
ITIS0132,1962.68,1203.646,566.359,18.222,1.06,54.56,0.723,0.055
ITIS0133,1968.7,927.532,187.326,17.437,1.251,51.322,0.707,0.156
ITIS0134,1852.109,842.716,251.036,14.312,0.934,32.875,0.681,0.074
ITIS0135,1239.769,484.53,125.989,10.35,3.182,11.592,0.651,0.159
ITIS0136,1169.43,737.858,532.144,10.1,1.915,14.599,0.538,0.0
ITIS0137,1312.132,605.925,123.602,15.851,1.672,44.45,0.596,0.076
ITIS0138,1306.292,613.467,216.851,14.066,2.043,32.541,0.629,0.157
ITIS0139,1562.921,519.002,134.105,9.817,6.752,12.39,0.62,0.155
ITIS0140,1881.601,1228.037,778.945,14.956,0.782,42.123,0.671,0.04
ITIS0141,1654.224,790.253,398.04,10.903,2.965,15.986,0.678,0.151
ITIS0142,1881.601,732.231,338.084,10.721,3.76,15.375,0.64,0.157
ITIS0143,1881.601,636.371,221.609,10.238,6.158,14.404,0.624,0.163
ITIS0144,1743.581,1482.069,1174.768,11.966,3.527,29.189,0.69,0.0
ITIS0145,1689.078,1034.972,564.55,11.362,2.912,16.013,0.498,0.162
ITIS0146,1600.877,793.351,370.753,10.97,3.264,16.775,0.772,0.144
ITIS0147,2917.068,1124.981,521.293,11.01,9.411,23.455,0.758,0.122
ITIS0148,1129.453,404.732,135.376,8.789,17.303,14.035,0.479,0.15
ITIS0150,305.2,44.443,-1.0,3.482,56.657,0.885,0.508,0.0
ITIS0151,239.78,114.564,10.798,5.603,35.955,1.255,0.616,0.081
ITIS0152,1881.601,528.313,58.888,8.919,11.568,10.947,0.624,0.172
ITIS0153,768.357,443.063,164.795,8.81,13.046,11.671,0.612,0.129
ITIS0154,3677.502,2163.538,877.797,23.795,3.079,80.156,0.594,0.154
ITIS0155,3869.176,2154.618,854.952,24.547,3.635,81.417,0.635,0.151
ITIS0156,3869.176,2108.893,500.613,25.559,3.178,82.338,0.645,0.147
ITIS0157,3389.952,2430.29,1580.666,26.139,0.867,82.763,0.503,0.027
ITIS0158,3448.969,2384.532,1579.331,28.804,0.544,86.594,0.667,0.094
ITIS0159,3448.969,2404.209,1598.767,28.801,0.537,86.301,0.647,0.078
